ID,Genus,subgenus,Taxon/species,Stage_mean,Type,Latitude,Longitude
2707,Quercus,Cerris,Quercus drymeja Unger,Rupelian,macrofossil,49.453458,79.770874
2708,Quercus,Cerris,Quercus cf. cerris L.,Rupelian,macrofossil,49.453458,79.770874
53,Quercus,Cerris,Quercus lantenoisii,Rupelian,macrofossil,23.519375,100.704566
1032,Quercus,Cerris,Quercus paleomultinervis Liu et Jin,Lutetian,macrofossil,19.63416667,110.4511111
1033,Quercus,Cerris,Quercus paleomyrsinifolia Liu et Jin,Lutetian,macrofossil,19.63416667,110.4511111
1046,Quercus,Cerris,Quercus scudderi Knowlton,Lutetian,macrofossil,38.965589,-105.285327
1651,Quercus,Cerris,Quercus nagatoensis Tanai and Uemura.,Chattian,macrofossil,34.38194444,130.9688889
1652,Quercus,Cerris,Quercus protoacuta (K. Suzuki) Huzioka and Uemura,Rupelian,macrofossil,34.39046,131.132586
1640,Quercus,Cerris,Quercus decora Tao,Rupelian,macrofossil,23.519375,100.704566
2735,Quercus,Cerris,Quercus sect. Cyclobalanopsis sp.,Rupelian,macrofossil,25.14,101.44
1877,Quercus,Cerris,Quercus drymeja Unger 1847,Chattian,macrofossil,47.7,11.8
2000,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Rupelian,macrofossil,46.15,15.05
1756,Quercus,Cerris,Quercus bavarica (Knobloch & Kvacek) Kvacek 2004,Rupelian,macrofossil,50.76,14.39
1775,Quercus,Cerris,Quercus lonchitis Unger 1850,Chattian,macrofossil,51.2,12.5
2094,Quercus,Cerris,Quercus tibetensis,Priabonian,macrofossil,29.75,98.42
168,Quercus,Cerris,Quercus densa J. Huang et Z.K. Zhou sp. nov.,Rupelian,macrofossil,23.33333333,104.25
170,Quercus,Cerris,Quercus miovariabilis Hu et Chaney,Rupelian,macrofossil,23.33333333,104.25
171,Quercus,Cerris,Quercus paraschottkyana Wang et Liu,Rupelian,macrofossil,23.33333333,104.25
648,Quercus,Cerris,Quercus kraskinensis Pavlyutkin,Rupelian,macrofossil,42.71666667,130.7166667
145,Quercus,Cerris,"Quercus cf. presenescens Z. K. Zhou, 1992",Priabonian,macrofossil,29.7527,98.4327
146,Quercus,Cerris,"Quercus tibetensis H. Xu, T. Su et Z.K. Zhou sp. nov.",Priabonian,macrofossil,29.7527,98.4327
275,Quercus,Cerris,Quercus preguyavaefolia Tao,Priabonian,macrofossil,29.75277778,98.43277778
277,Quercus,Cerris,Quercus sp. 2,Priabonian,macrofossil,29.75277778,98.43277778
353,Quercus,Cerris,Quercus pseudocastanea G?pp. 1852,Chattian,macrofossil,55.982478,66.363541
354,Quercus,Cerris,Quercus cf. kubinyii (Kov¨¢ts ex Ettingshausen 1852) Czeczott 1951,Chattian,macrofossil,57.239717,74.123751
268,Quercus,Cerris,"Quercus bavarica (Knobloch et Z. Kva?ek) Z. Kva?ek, comb. nov.",Rupelian,macrofossil,49.996938,8.227993
266,Quercus,Cerris,?Quercus L. cf. Quercus bavarica (Knobloch et Z. Kva?ek) Z. Kva?ek,Rupelian,macrofossil,50.75861111,14.24972222
148,Quercus,Cerris,Quercus sp.,Rupelian,macrofossil,22.16666667,111.4833333
330,Quercus,Cerris,"Quercus paucinervis Pavlyutkin, sp. nov.",Rupelian,macrofossil,42.75,130.6666667
331,Quercus,Cerris,Quercus miovariabilis Hu et Chaney,Rupelian,macrofossil,42.75,130.6666667
332,Quercus,Cerris,Quercus gracilis (Pavlyutkin) Pavlyutkin,Rupelian,macrofossil,42.75,130.6666667
333,Quercus,Cerris,Quercus ussuriensis Krysht.,Rupelian,macrofossil,42.75,130.6666667
338,Quercus,Cerris,Quercus ishikariensis Tanai,Rupelian,macrofossil,42.75,130.6666667
339,Quercus,Cerris,"Quercus kraskinensis Pavlyutkin, sp. nov.",Rupelian,macrofossil,42.75,130.6666667
340,Quercus,Cerris,"Quercus chekryzhovii Pavlyutkin, sp. nov.",Rupelian,macrofossil,42.75,130.6666667
2693,Quercus,Cerris,Quercus ishikariensis Tanai,Bartonian,macrofossil,43.37894,141.57119
2695,Quercus,Cerris,Quercus ishikariensis Tanai (=Q. kushiroensis),Bartonian,macrofossil,42.997074,144.501517
480,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,43.820848,143.857766
481,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,34.700069,135.181715
475,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,42.72971,130.806896
479,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,42.305027,130.01265
478,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,42.284538,129.985054
476,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,43.383799,132.144431
477,Quercus,Cerris,Quercus ussuriensis Kryshtofovich,Rupelian,macrofossil,44.204861,132.721711
127,Quercus,Cerris,Quercus latifolia Li. sp. nov.,Rupelian,macrofossil,23.5,110.7
1639,Quercus,Cerris,Quercus indjatschaensis (G. Kassum) Iljinshaja,Rupelian,macrofossil,40.66606,47.732444
1636,Quercus,Cerris,Quercus scottii (Lesquereux) MacGinitie,Priabonian,macrofossil,26.544845,99.89743
1641,Quercus,Cerris,Quercus lantenoisii Colani,Rupelian,macrofossil,23.519375,100.704566
1642,Quercus,Cerris,Quercus parachampionii Chen et Tao,Rupelian,macrofossil,23.519375,100.704566
1643,Quercus,Cerris,Quercus parahelferiana Chen et Tao,Rupelian,macrofossil,23.519375,100.704566
1644,Quercus,Cerris,Quercus paraschottkyana Wang et Liu,Rupelian,macrofossil,23.519375,100.704566
