FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
ILsenescens_F079_WG06_A_0,ILsenescens_F079_WG06_A,Quercus_senescens,Y,Quercus,IL
ILspinosa_P011_WF10_A_0,ILspinosa_P011_WF10_A,Quercus_spinosa,Y,Quercus,IL
ILtarokoensis_F079_WA12_A_0,ILtarokoensis_F079_WA12_A,Quercus_tarokoensis,Y,Quercus,IL
ILtungmaiensis_P003_WE04_SNS_0,ILtungmaiensis_P003_WE04_SNS,Quercus_tungmaiensis,Y,Quercus,IL
ILyiwuensis_P003_WE05_HN_0,ILyiwuensis_P003_WE05_HN,Quercus_yiwuensis,Y,Quercus,IL
LOacerifolia_P011_WH03_A_0,LOacerifolia_P011_WH03_A,Quercus_acerifolia,Y,Quercus,LO
LOacherdophylla_P009_WD01_A_0,LOacherdophylla_P009_WD01_A,Quercus_acherdophylla,Y,Quercus,LO
LOacutifolia_U02_WG09_A_0,LOacutifolia_U02_WG09_A,Quercus_acutifolia,Y,Quercus,LO
LOaffinis_F079_WB06_A_0,LOaffinis_F079_WB06_A,Quercus_affinis,Y,Quercus,LO
LOagrifolia_F087_WB08_A_0,LOagrifolia_F087_WB08_A,Quercus_agrifolia,Y,Quercus,LO
LOalbocincta_F087_WA04_A_0,LOalbocincta_F087_WA04_A,Quercus_albocincta,Y,Quercus,LO
LOarkansana_trans_A_0,LOarkansana_trans_A,Quercus_arkansana,Y,Quercus,LO
LObenthamii_trans_A_0,LObenthamii_trans_A,Quercus_benthamii,Y,Quercus,LO
LObuckleyi_P026_WB11_A_0,LObuckleyi_P026_WB11_A,Quercus_buckleyi,Y,Quercus,LO
LOcandicans_F087_WB03_A_0,LOcandicans_F087_WB03_A,Quercus_candicans,Y,Quercus,LO
LOcastanea_F079_WB07_A_0,LOcastanea_F079_WB07_A,Quercus_castanea,Y,Quercus,LO
LOcoahuilensis_P022_WH05_A_0,LOcoahuilensis_P022_WH05_A,Quercus_coahuilensis,Y,Quercus,LO
LOconspersa_F079_WG02_SP_0,LOconspersa_F079_WG02_SP,Quercus_conspersa,Y,Quercus,LO
LOconzattii_F087_WA03_ANP_0,LOconzattii_F087_WA03_ANP,Quercus_conzattii,Y,Quercus,LO
LOcortesii_F084_WH03_A_0,LOcortesii_F084_WH03_A,Quercus_cortesii,Y,Quercus,LO
LOcostaricensis_F086_WF07_A_0,LOcostaricensis_F086_WF07_A,Quercus_costaricensis,Y,Quercus,LO
LOcrassifolia_F101_WD12_A_0,LOcrassifolia_F101_WD12_A,Quercus_crassifolia,Y,Quercus,LO
LOcrassipes_F079_WC06_A_0,LOcrassipes_F079_WC06_A,Quercus_crassipes,Y,Quercus,LO
LOcrispifolia_F086_WG07_A_0,LOcrispifolia_F086_WG07_A,Quercus_crispifolia,Y,Quercus,LO
LOdepressa_F079_WE11_A_0,LOdepressa_F079_WE11_A,Quercus_depressa,Y,Quercus,LO
LOdevia_F086_WG08_A_0,LOdevia_F086_WG08_A,Quercus_devia,Y,Quercus,LO
