423	6 (T S C E N M)
ILbaronii_F086_WH02_A	100000
ILcocciferoides_F087_WB11_A	100000
ILdolicholepis_F086_WE12_A	100000
ILengleriana_F079_WC01_A	100000
ILfimbriata_P019_WG03_HN	100000
ILgilliana_F086_WF01_SNK	100000
ILgracilis_P010_WF01_SNP	100000
ILguyavifolia_F086_WE06_A	100000
ILhandeliana_P001_WG10_SNS	100000
ILkongshanensis_P001_WG09_SNP	100000
ILlongispica_P009_WC12_SNP	100000
ILmarlipoensis_P003_WE07_SNP	100000
ILpannosa_F079_WE02_A	100000
ILphillyreoides_F086_WG10_A	100000
ILpseudosemecarpifolia_P005_WG10_SNP	100000
ILrehderiana_F087_WB05_A	100000
ILsenescens_F079_WG06_A	100000
ILspinosa_P011_WF10_A	100000
ILtarokoensis_F079_WA12_A	100000
ILtungmaiensis_P003_WE04_SNS	100000
NNmiyagii_P004_WE12_A	100000
QUfabrei_F086_WF02_A	100000
NNliaoi_P002_WF06_A	100000
CYmeihuashanensis_P001_WE09_SNU	100000
CYmultinervis_F118_WG05_SNK	100000
ILyiwuensis_P003_WE05_HN	100000
CEvariabilis_trans_A	110000
TRexcelsa_F118_WF02	000001
TRdoichangensis_trans	110000
